REF_AREA,Reference area,patents,patents_share,patents_log
AUT,Austria,54.916416803995766,0.0049152237160686165,4.023858018690761
BEL,Belgium,54.769817272822074,0.004902102512349858,4.021232813953959
CAN,Canada,44.30356629689535,0.003965334092101102,3.8133857555910238
CHE,Switzerland,59.55856704711914,0.005330713442027822,4.10361094714382
CHN,China (People’s Republic of),2000.4977264404297,0.17905199285008516,7.601651042504144
CZE,Czechia,2.9629166523615518,2.651920690747341e-4,1.3769802825366044
DEU,Germany,383.64573160807294,0.034337721000604136,5.952322733023077
DNK,Denmark,6.046366691589356,5.411723249282525e-4,1.9525121210839493
FIN,Finland,23.11978324254354,0.0020693066576012898,3.1830323851910567
FRA,France,200.8150177001953,0.017973691565960296,5.307351523882957
GBR,United Kingdom,85.35716883341472,0.007639784330501807,4.45849182179999
HKG,Hong Kong (China),8.742900013923645,7.825220944227257e-4,2.2765388160405147
HUN,Hungary,0.6347333385298649,5.681099642856521e-5,0.49147969534727826
IND,India,28.889782826105755,0.0025857430976562695,3.3975167104984823
IRL,Ireland,14.238900065422058,0.0012744345564658388,2.7238513734689143
ISR,Israel,36.92781654993693,0.0033051770354338636,3.6356847887904222
ITA,Italy,62.2432664235433,0.005571004029314546,4.146988662233568
JPN,Japan,2247.118982950846,0.20112551329139775,7.717849137971843
KOR,Korea,1881.5170237223306,0.1684027770820244,7.540365002779152
MEX,Mexico,0.6904500238597393,6.179784715649188e-5,0.5249947797946141
MYS,Malaysia,35.363749742507935,0.0031651872343361463,3.593572392223719
NLD,Netherlands,69.70521799723308,0.006238876470338172,4.258519374949005
NOR,Norway,1.930999994277954,1.7283168713426997e-4,1.075343659776505
PHL,Philippines,10.158217027783394,9.091982353134891e-4,2.4121761796539136
SGP,Singapore,85.09300200144449,0.007616140415747989,4.455428130563057
SWE,Sweden,15.080416838328045,0.001349753439968742,2.7776021861964257
THA,Thailand,2.8432500610748925,2.544814637267449e-4,1.3463183787020419
TWN,Chinese Taipei,1522.5894689559937,0.13627742491575465,7.328824322632539
USA,United States,2232.9584350585938,0.1998580915460762,7.71153037384218
